127.0.0.1 - - [28/Jul/2023:09:40:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:40:28 +0900] "GET /ScriptExam/login.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:51:28 +0900] "GET /ScriptExam/login.jsp?userid=&password= HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:51:31 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:53:50 +0900] "GET /ScriptExam/login.jsp?userid=&password= HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:53:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:59:52 +0900] "GET /ScriptExam/login.jsp?userid=&password= HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:59:56 +0900] "GET /ScriptExam/login2.jsp?userid=&password= HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/Jul/2023:09:59:57 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:08:46 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 500 2556
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:09:23 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:14:14 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:14:15 +0900] "GET /ScriptExam/index.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:14:19 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:14:38 +0900] "GET /ScriptExam/login2.jsp?userid=&password= HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:14:40 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:26:08 +0900] "GET /ScriptExam/login2.jsp?userid=&password= HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:26:11 +0900] "POST /ScriptExam/login_pro.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:26:12 +0900] "GET /ScriptExam/index.jsp?idx=3&tc=30 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:59:07 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:01:10 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:01:19 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:01:26 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:06:09 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:14:42 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:15:16 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:22:38 +0900] "GET /ScriptExam/check.jsp HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:22:41 +0900] "POST /ScriptExam/check_pro.jsp HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:36:32 +0900] "GET /ScriptExam/join.html HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:36:35 +0900] "POST /ScriptExam/join_pro.jsp HTTP/1.1" 500 2546
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:36:39 +0900] "POST /ScriptExam/join_pro.jsp HTTP/1.1" 500 2546
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:38:53 +0900] "GET /ScriptExam/join.html HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:11 +0900] "GET /ScriptExam/join.html HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:41:03 +0900] "GET /ScriptExam/join.html HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:41:52 +0900] "GET /ScriptExam/join.html HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:42:05 +0900] "POST /ScriptExam/join_pro.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:42:30 +0900] "POST /ScriptExam/join_pro.jsp HTTP/1.1" 200 292
