127.0.0.1 - - [24/Aug/2023:09:39:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:01 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:11 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:20 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:20 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:21 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:22 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:22 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:22 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:22 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:29 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:29 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:41 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:41 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:41 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:42 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:42 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:39:42 +0900] "GET /ExHrdKorea/school/index.jsp HTTP/1.1" 200 1485
